fecha,saldo
2026-03-03,1015.3951969334308
2026-03-04,1004.6840315512108
2026-03-09,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-10,100000.0
2026-03-11,100000.0
2026-03-11,100000.0
2026-03-11,100000.0
2026-03-11,100000.0
2026-03-11,100000.0
2026-03-11,100000.0
2026-03-11,100000.0
2026-03-11,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-12,100000.0
2026-03-13,97775.6
2026-03-13,97882.26
2026-03-13,97450.34
2026-03-13,96678.35
2026-03-13,96141.7
2026-03-13,96566.19
2026-03-13,96299.17
2026-03-13,96289.39
2026-03-16,100469.2
2026-03-16,99803.55
2026-03-16,99473.13
2026-03-16,98741.32
2026-03-16,98837.7
2026-03-16,98605.36
2026-03-16,98457.01
2026-03-17,99684.5
2026-03-17,99997.59
2026-03-17,99595.05
2026-03-17,99428.52
2026-03-17,99690.87
2026-03-17,99546.7
2026-03-17,99507.7
2026-03-18,99583.05
2026-03-18,99639.57
2026-03-18,99341.72
2026-03-18,98606.77
2026-03-18,98011.99
2026-03-18,97933.83
2026-03-18,97943.21
2026-03-19,96467.95
2026-03-19,97533.62
2026-03-19,96881.13
2026-03-19,97514.28
2026-03-19,98450.12
2026-03-19,98926.43
2026-03-19,98551.32
2026-03-19,98809.62
2026-03-20,95888.8
2026-03-20,96362.47
2026-03-20,95109.3
2026-03-20,94779.39
2026-03-20,93955.68
2026-03-20,94714.11
2026-03-20,94814.95
2026-03-20,95723.57
2026-03-23,97527.53
2026-03-23,96706.72
2026-03-23,97175.81
2026-03-23,97809.44
2026-03-23,97926.31
2026-03-23,97439.4
2026-03-23,97537.83
2026-03-23,97469.27
2026-03-24,95756.3
2026-03-24,94669.51
2026-03-24,96293.86
2026-03-24,95692.31
2026-03-24,96946.62
2026-03-24,97203.58
2026-03-25,100639.12
2026-03-25,100985.99
2026-03-25,100609.03
2026-03-25,100259.48
2026-03-25,100229.23
2026-03-25,100195.37
2026-03-25,100078.08
2026-03-26,97539.03
2026-03-26,96579.45
2026-03-26,96211.1
2026-03-26,95919.68
2026-03-26,95601.03
2026-03-26,95985.11
2026-03-26,96088.0
2026-03-27,93589.68
2026-03-27,92949.52
2026-03-27,92555.1
2026-03-27,92413.66
2026-03-27,92326.5
2026-03-27,92181.51
2026-03-27,91931.43
2026-03-27,91899.47
2026-03-30,92234.65
2026-03-30,90804.13
2026-03-30,90616.11
2026-03-30,90188.08
2026-03-30,90508.43
2026-03-30,90530.78
2026-03-30,90587.38
2026-03-31,93923.96
2026-03-31,96305.26
2026-03-31,96794.29
2026-03-31,96946.71
2026-03-31,97206.8
2026-03-31,96974.95
2026-03-31,97218.0
2026-04-01,99559.99
2026-04-01,99557.3
2026-04-01,98514.54
2026-04-01,99032.74
2026-04-01,98746.31
2026-04-01,98802.14
2026-04-01,98687.91
2026-04-02,99261.86
2026-04-02,99075.39
2026-04-02,99319.41
2026-04-02,99131.26
2026-04-02,99407.79
2026-04-02,99787.76
2026-04-02,99820.78
2026-04-02,99737.65
2026-04-03,99852.93
2026-04-03,99852.93
2026-04-03,99852.93
2026-04-03,99852.93
2026-04-03,99852.93
2026-04-03,99852.93
2026-04-03,99852.93
2026-04-03,99852.93
2026-04-06,100145.93
2026-04-06,100311.52
2026-04-06,100105.84
2026-04-06,100258.06
2026-04-06,100298.62
2026-04-06,100379.08
2026-04-06,100546.13
2026-04-06,100612.15
2026-04-07,99284.69
2026-04-07,99991.9
2026-04-07,99594.58
2026-04-07,99958.31
2026-04-07,100768.07
2026-04-07,101090.32
2026-04-07,102133.42
2026-04-08,104956.78
2026-04-08,104683.33
2026-04-08,103772.52
2026-04-08,104045.0
2026-04-08,104011.32
2026-04-08,103869.76
2026-04-09,105549.13
2026-04-09,105561.45
2026-04-09,105086.09
2026-04-09,105278.27
2026-04-09,105185.83
2026-04-09,105339.36
2026-04-10,107167.96
2026-04-10,106712.73
2026-04-10,106516.23
2026-04-10,106607.68
2026-04-10,106996.22
2026-04-10,106904.82
2026-04-10,107018.9
2026-04-10,107003.86
2026-04-13,107698.99
2026-04-13,108727.45
2026-04-13,108653.45
2026-04-13,109645.12
2026-04-13,109678.92
2026-04-13,109788.61
2026-04-14,112108.76
2026-04-14,112517.95
2026-04-14,112373.64
2026-04-14,112457.48
2026-04-14,112486.44
2026-04-15,114428.85
2026-04-15,114028.01
2026-04-15,115309.84
2026-04-15,115335.63
2026-04-15,115473.44
